title;url;author;date;views;game;game_type
Builders of Egypt - Carnet de Développement #27;https://www.mundusbellicus.fr/605699-builders-of-egypt-carnet-de-developpement-27;Ancient Egypt Fan;2021-11-20 02:00:00;119.0;Builders of Egypt;Gestion
Carnet de développement HOI4 1.11 Barbarossa: Sortie de No Step Back et Barbarossa le 23 Novembre!;https://www.mundusbellicus.fr/605674-carnet-de-developpement-hoi4-1-11-barbarossa-sortie-de-no-step-back-et-barbarossa-le-23-novembre;Sinake;2021-11-19 00:44:00;560.0;Hearts of Iron IV;Grande Stratégie
Sumerians - Maisons sur les collines et Nouvelle carte;https://www.mundusbellicus.fr/605671-sumerians-maisons-sur-les-collines-et-nouvelle-carte;Ancient Egypt Fan;2021-11-18 20:43:00;99.0;Sumerians;Gestion
Victoria 3 - Carnet XXIII : Fronts militaires et généraux;https://www.mundusbellicus.fr/605659-victoria-3-carnet-xxiii-fronts-militaires-et-generaux;Limse;2021-11-18 15:00:00;612.0;Victoria 3;Grande Stratégie
Age of Empires IV - Quelles sont les prochaines étapes pour Age of Empires IV ?;https://www.mundusbellicus.fr/605649-age-of-empires-iv-quelles-sont-les-prochaines-etapes-pour-age-of-empires-iv;Ancient Egypt Fan;2021-11-17 23:49:00;292.0;Age of Empires IV;STR
El Dorado: The Golden City Builder - Carnet de Développement #3;https://www.mundusbellicus.fr/605648-el-dorado-the-golden-city-builder-carnet-de-développement-3;Ancient Egypt Fan;2021-11-17 23:21:00;133.0;El Dorado: The Golden City Builder;Gestion
Europa Universalis IV - Carnet de développement du 16 Novembre 2021;https://www.mundusbellicus.fr/605616-europa-universalis-iv-carnet-de-developpement-du-16-novembre-2021;AcidePrussique;2021-11-16 15:58:00;474.0;Europa Universalis IV;Grande Stratégie
La Porte des Fauconniers : Alpha disponible;https://www.mundusbellicus.fr/605532-la-porte-des-fauconniers-alpha-disponible;Foeurdr;2021-11-13 23:01:00;253.0;La Porte des Fauconniers;RPG
Builders of Egypt - Carnet de Développement #26;https://www.mundusbellicus.fr/605495-builders-of-egypt-carnet-de-developpement-26;Ancient Egypt Fan;2021-11-12 22:42:00;89.0;Builders of Egypt;Gestion
Project Wunderwaffe - Nouvelles de Production #11;https://www.mundusbellicus.fr/605494-project-wunderwaffe-nouvelles-de-production-11;Ancient Egypt Fan;2021-11-12 21:59:00;79.0;Project Wunderwaffe;Gestion
Diarium Strategorum - 28ème édition - Le Journal des Stratèges : septembre 2021;https://www.mundusbellicus.fr/605452-diarium-strategorum-28ème-édition-le-journal-des-stratèges-septembre-2021;CptSparke;2021-11-11 17:01:00;105.0;Diarium Strategorum;
