author;date;title;url;views;game;game_type
CptSparke;2022-12-31 15:58:00;JDS 42 - Le Journal des Stratèges - Actu jeu vidéo : novembre 2022;https://www.mundusbellicus.fr/622605-jds-42-le-journal-des-stratèges-novembre-2022;17;Diarium Strategorum;
Ancient Egypt Fan;2022-12-31 15:42:00;Aquatico - Carnets de développement de décembre;https://www.mundusbellicus.fr/622604-aquatico-carnets-de-developpement-de-decembre;9;Aquatico;Gestion
Ancient Egypt Fan;2022-12-31 14:21:00;Viking City Builder - Carnet de Développement #18;https://www.mundusbellicus.fr/622601-viking-city-builder-carnet-de-developpement-18;5;Viking City Builder;Gestion
Ancient Egypt Fan;2022-12-27 14:39:00;Laysara: Summit Kingdom - Exploration des mécanismes de jeu : les avalanches vicieuses;https://www.mundusbellicus.fr/622596-laysara-summit-kingdom-exploration-des-mecanismes-de-jeu-les-avalanches-vicieuses;86;Laysara;Gestion
Ancient Egypt Fan;2022-12-22 11:53:00;Land of the Vikings -  Mise à jour de la défense;https://www.mundusbellicus.fr/622578-land-of-the-vikings-mise-a-jour-de-la-défense;87;Land of the Vikings;Gestion
Ancient Egypt Fan;2022-12-20 18:06:00;Path of Ra - Test du jeu;https://www.mundusbellicus.fr/622569-path-of-ra-test-du-jeu;106;Path of Ra;
AcidePrussique;2022-12-20 17:36:00;Europa Universalis IV - Carnet de développement du 20 Décembre 2022;https://www.mundusbellicus.fr/622570-europa-universalis-iv-carnet-de-developpement-du-20-décembre-2022;318;Europa Universalis IV;Grande Stratégie
AcidePrussique;2022-12-16 15:35:00;Europa Universalis IV - Carnet de développement du 13 Décembre 2022;https://www.mundusbellicus.fr/622530-europa-universalis-iv-carnet-de-developpement-du-13-decembre-2022;399;Europa Universalis IV;Grande Stratégie
Lynx;2022-12-15 10:16:00;Strategic Command: American Civil War;https://www.mundusbellicus.fr/622500-strategic-command-american-civil-war;392;Strategic Command;
Mouchi;2022-12-13 17:41:00;Crusader Kings 3 : Revue de l'Année;https://www.mundusbellicus.fr/622493-crusader-kings-3-revue-de-l-année;259;Crusader Kings 3;Grande Stratégie
Ancient Egypt Fan;2022-12-10 21:30:00;Builders of Greece - Le coin de l'architecte #7 - Les cabanes du fromager et de l'herboriste;https://www.mundusbellicus.fr/622472-builders-of-greece-le-coin-de-l-architecte-7-les-cabanes-du-fromager-et-de-l-herboriste;72;Builders of Greece;Gestion
Foeurdr;2022-12-10 01:01:00;Kainga Seeds of Civilization;https://www.mundusbellicus.fr/622463-kainga-seeds-of-civilization;76;Kainga;Gestion
Foeurdr;2022-12-07 22:04:00;IXION sortie officielle;https://www.mundusbellicus.fr/622449-ixion-sortie-officielle;211;IXION;
Limse;2022-12-07 20:42:00;Victoria 3 - Sortie du patch 1.1 « Earl Grey »;https://www.mundusbellicus.fr/622446-victoria-3-sortie-du-patch-1-1-earl-grey;272;Victoria 3;Grande Stratégie
Ancient Egypt Fan;2022-12-06 23:42:00;Path of Ra - Sortie officielle du jeu (5 décembre 2022);https://www.mundusbellicus.fr/622436-path-of-ra-sortie-officielle-du-jeu-5-decembre-2022;110;Path of Ra;
Foeurdr;2022-12-06 23:25:00;Knights of Honor II Sovereign;https://www.mundusbellicus.fr/622435-knights-of-honor-ii-sovereign;482;Knights of Honor;STR
Ancient Egypt Fan;2022-12-05 17:20:00;Land of the Vikings - Feuille de route dévoilée;https://www.mundusbellicus.fr/622420-land-of-the-vikings-feuille-de-route-devoilee;52;Land of the Vikings;Gestion
Ancient Egypt Fan;2022-12-04 17:41:00;Pharaoh: A New Era - Interview de Louis Godart sur la bande-son du jeu;https://www.mundusbellicus.fr/622415-pharaoh-a-new-era-interview-de-louis-godart-sur-la-bande-son-du-jeu;47;Pharaoh : A New Era;Gestion
Ancient Egypt Fan;2022-12-02 21:00:00;Celestial Empire - Carnet de Développement N°15;https://www.mundusbellicus.fr/622394-celestial-empire-carnet-de-developpement-n15;32;Celestial Empire;Gestion
Ancient Egypt Fan;2022-12-02 20:26:00;Viking City Builder - Carnet de Développement #17;https://www.mundusbellicus.fr/622393-viking-city-builder-carnet-de-developpement-17;29;Viking City Builder;Gestion
Ancient Egypt Fan;2022-11-30 21:49:00;Pharaoh: A New Era - Interview des développeurs novembre 2022;https://www.mundusbellicus.fr/622376-pharaoh-a-new-era-interview-des-developpeurs-novembre-2022;73;Pharaoh : A New Era;Gestion
Ancient Egypt Fan;2022-11-30 21:12:00;Patron - Mise à jour d'automne 2022;https://www.mundusbellicus.fr/622373-patron-mise-a-jour-d-automne-2022;50;Patron;Gestion
Ancient Egypt Fan;2022-11-30 17:38:00;Sumerians - Mise à jour de novembre 2022;https://www.mundusbellicus.fr/622369-sumerians-mise-a-jour-de-novembre-2022;27;Sumerians;Gestion
CptSparke;2022-11-27 13:09:00;JDS 41 - Le Journal des Stratèges - Actu jeu vidéo : octobre 2022;https://www.mundusbellicus.fr/622322-jds-41-le-journal-des-stratèges-octobre-2022;79;Diarium Strategorum;
Mouchi;2022-11-27 10:12:00;Crusader Kings 3 : Présentation 1.8.0 Robe;https://www.mundusbellicus.fr/622315-crusader-kings-3-présentation-1-8-0-robe;473;Crusader Kings 3;Grande Stratégie
Ancient Egypt Fan;2022-11-26 17:46:00;Builders of China - Carnet de Développement N°18;https://www.mundusbellicus.fr/622305-builders-of-china-carnet-de-developpement-n18;74;Builders of China;Gestion
Ancient Egypt Fan;2022-11-26 17:04:00;Monuments Flipper - Sortie officielle en accès anticipé (14 novembre 2022);https://www.mundusbellicus.fr/622303-monuments-flipper-sortie-officielle-en-acces-anticipe-14-novembre-2022;21;Monuments Flipper;Gestion
Ancient Egypt Fan;2022-11-25 19:59:00;Builders of Greece - Carnet de développement #6;https://www.mundusbellicus.fr/622291-builders-of-greece-carnet-de-developpement-6;60;Builders of Greece;Gestion
Ancient Egypt Fan;2022-11-25 19:31:00;Nebuchadnezzar - Annonce date de sortie de la mise à jour 1.4 et du DLC de Sargon;https://www.mundusbellicus.fr/622290-nebuchadnezzar-annonce-date-de-sortie-de-la-mise-a-jour-1-4-et-du-dlc-de-sargon;36;Nebuchadnezzar;Gestion
Ancient Egypt Fan;2022-11-14 22:20:00;Land of the Vikings - Sortie accès anticipé (8 novembre 2022);https://www.mundusbellicus.fr/621365-land-of-the-vikings-sortie-acces-anticipe-8-novembre-2022;157;Land of the Vikings;Gestion
Ancient Egypt Fan;2022-11-13 03:00:00;Aquatico - Annonce de la date de sortie;https://www.mundusbellicus.fr/621198-aquatico-annonce-de-la-date-de-sortie;129;Aquatico;Gestion
Ancient Egypt Fan;2022-11-13 02:32:00;Stadium Renovator - Tennis;https://www.mundusbellicus.fr/621195-stadium-renovator-tennis;20;Stadium Renovator;Gestion
Limse;2022-11-11 12:41:00;Victoria 3 : Carnet LXV – Patch 1.1, partie I;https://www.mundusbellicus.fr/621091-victoria-3-carnet-lxv-–-patch-1-1-partie-i;618;Victoria 3;Grande Stratégie
Mouchi;2022-11-09 20:52:00;Humankind - Sortie de Together We Rule;https://www.mundusbellicus.fr/620837-humankind-sortie-de-together-we-rule;130;Humankind;4X
Ancient Egypt Fan;2022-11-06 12:09:00;Monuments Flipper - Annonce Sortie en accès anticipé;https://www.mundusbellicus.fr/620268-monuments-flipper-annonce-sortie-en-acces-anticipe;70;Monuments Flipper;Gestion
Ancient Egypt Fan;2022-11-06 00:29:00;House Flipper 2 - Carnet de développement #1;https://www.mundusbellicus.fr/620270-house-flipper-2-carnet-de-developpement-1;44;House Flipper;Gestion
Ancient Egypt Fan;2022-11-05 23:50:00;Espresso Tycoon - Sortie du prologue;https://www.mundusbellicus.fr/620265-espresso-tycoon-sortie-du-prologue;37;Espresso Tycoon;Gestion
Ancient Egypt Fan;2022-10-31 16:43:00;Celestial Empire - Carnet de Développement N°14;https://www.mundusbellicus.fr/619526-celestial-empire-carnet-de-developpement-n14;82;Celestial Empire;Gestion
Mouchi;2022-10-30 09:57:00;Crusader Kings 3 : Une étude en Noir;https://www.mundusbellicus.fr/619421-crusader-kings-3-une-etude-en-noir;486;Crusader Kings 3;Grande Stratégie
Ancient Egypt Fan;2022-10-28 23:27:00;Nebuchadnezzar: The Adventures of Sargon - Systèmes de dialogues;https://www.mundusbellicus.fr/619303-nebuchadnezzar-the-adventures-of-sargon-systemes-de-dialogues;85;Nebuchadnezzar;Gestion
Ancient Egypt Fan;2022-10-28 21:59:00;Viking City Builder - Carnet de Développement #16;https://www.mundusbellicus.fr/619293-viking-city-builder-carnet-de-developpement-16;38;Viking City Builder;Gestion
Ancient Egypt Fan;2022-10-28 21:46:00;WW2 Rebuilder - La Normandie;https://www.mundusbellicus.fr/619291-ww2-rebuilder-la-normandie;71;WW2 Rebuilder;Gestion
Ancient Egypt Fan;2022-10-26 22:48:00;Builders of Greece - Le coin de l'architecte #6 - Odéon et Lesche;https://www.mundusbellicus.fr/619138-builders-of-greece-le-coin-de-l-architecte-6-odeon-et-lesche;82;Builders of Greece;Gestion
Ancient Egypt Fan;2022-10-26 22:30:00;Land of the Vikings - Annonce accès anticipé;https://www.mundusbellicus.fr/619136-land-of-the-vikings-annonce-acces-anticipe;108;Land of the Vikings;Gestion
Ancient Egypt Fan;2022-10-26 22:09:00;Land of the Vikings - Carnet de développement 3;https://www.mundusbellicus.fr/619135-land-of-the-vikings-carnet-de-developpement-3;46;Land of the Vikings;Gestion
Ancient Egypt Fan;2022-10-26 21:47:00;Chinese Empire - Carnet de Développement N°5;https://www.mundusbellicus.fr/619133-chinese-empire-carnet-de-developpement-n5;56;Chinese Empire;Gestion
Limse;2022-10-25 15:25:00;Victoria 3 : Carnet LIV - Réforme du commerce;https://www.mundusbellicus.fr/619044-victoria-3-carnet-liv-réforme-du-commerce;376;Victoria 3;Grande Stratégie
Limse;2022-10-25 14:54:00;Victoria 3 : Carnet LIII - Les personnages;https://www.mundusbellicus.fr/619038-victoria-3-carnet-liii-les-personnages;292;Victoria 3;Grande Stratégie
CptSparke;2022-10-23 18:53:00;JDS 40 - Le Journal des Stratèges - Actu jeu vidéo : septembre 2022;https://www.mundusbellicus.fr/618932-jds-40-le-journal-des-stratèges-septembre-2022;80;Diarium Strategorum;
Limse;2022-10-19 20:53:00;Victoria 3 : Carnet LII - Les objectifs de campagne;https://www.mundusbellicus.fr/618681-victoria-3-carnet-lii-les-objectifs-de-campagne;499;Victoria 3;Grande Stratégie
Limse;2022-10-19 20:40:00;Victoria 3 : Carnet LI - Le tutoriel;https://www.mundusbellicus.fr/618680-victoria-3-carnet-li-le-tutoriel;2333;Victoria 3;Grande Stratégie
Limse;2022-10-18 21:32:00;Victoria 3 : Carnet L - Un monde vivant;https://www.mundusbellicus.fr/618577-victoria-3-carnet-l-un-monde-vivant;459;Victoria 3;Grande Stratégie
Mouchi;2022-10-15 19:31:00;Humankind - Together We Rule : Ambassade et Renforts;https://www.mundusbellicus.fr/618345-humankind-together-we-rule-ambassade-et-renforts;165;Humankind;4X
AcidePrussique;2022-10-14 10:09:00;Europa Universalis IV - Patch 1.34.4 - Suède;https://www.mundusbellicus.fr/618241-europa-universalis-iv-patch-1-34-4-suede;319;Europa Universalis IV;Grande Stratégie
Limse;2022-10-13 21:52:00;Victoria 3 : Carnet XLIX - Tour d'horizon visuel;https://www.mundusbellicus.fr/618181-victoria-3-carnet-xlix-tour-d-horizon-visuel;333;Victoria 3;Grande Stratégie
Ancient Egypt Fan;2022-10-13 00:22:00;Builders of Egypt - Nouvelles du mois d'octobre 2022;https://www.mundusbellicus.fr/618138-builders-of-egypt-nouvelles-du-mois-d-octobre-2022;98;Builders of Egypt;Gestion
